UV,catégorie,titre,diplome,mineur,C,Cvolume,TD,TDvolume,TP,TPvolume,THE,THEvolume,PRJ,PRJvolume,ENT,ENTvolume,STG,STGvolume,periode1,periode2,antécédent,commentaires,credits,langues,objectif1,objectif2,objectif3,objectif4,objectif5,objectif6,objectif7,programme1,programme2,programme3,programme4,programme5,programme6,programme7,programme8,programme9,programme10,programme11
IF09,CS,Systèmes documentaires,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,50 h,,,,,Automne,,,Maîtrise du français : ** niveau C1|,6 crédits,FRA,Analyser et concevoir le système d'information d'une activité professionnelle en se focalisant sur ses documents numériques plutôt que sur ses données de gestion.,,,,,,,analyser les propriétés des flux documentaires d'une activité,"choisir les modèles (de preuve, stockage, description, révision, indexation matière, hypermédia) adaptés à chaque type de document",concevoir une architecture documentaire complète et cohérente,évaluer des logiciels ou des normes documentaires en fonction des besoins,mettre en ½uvre des traitements spécifiques de fouille et de transformation de textes structurés  ,,,,,,
IF10,CS,Conception centrée usages - Design de l'interaction,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,70 h,,,,,Automne,,,Maîtrise du français : **  niveau C1|Intervenants supérieur ou égal à  * 15%|Ouverte à l'alternance,6 crédits,FRA,La mise en place d'une démarche centrée utilisateurs/usages constitue un prérequis pour la conception de systèmes interactifs utilisables et performants qui répondent aux attentes des clients et aux besoins des utilisateurs finaux.,,,,,,,identifier et caractériser les besoins utilisateurs,mettre en ½uvre une démarche Agile UX,comprendre l'apport des méthodes de design fiction,"concevoir et réaliser des maquettes basse et moyenne fidélité (wireframes, Arduinos,...)",utiliser les méthodes d'évaluation utilisateur et experte,connaître les principes du design graphique des IHM,,,,,
IF14,TM,Analyse du Système d'Information,UV ing. ou UV mast.,,C,14 h,TD,28 h,,,THE,108 h,PRJ,50 h,,,,,Automne,,,Maîtrise du français: *** niveau C2|,6 crédits,FRA,Modéliser le fonctionnement d'une entreprise et d'un métier en vue de son informatisation.,,,,,,faire passer un entretien semi-directif à un professionnel,analyser le vocabulaire de l'entreprise (diagramme de classes ou d'objets UML),analyser les flux de l'entreprise (diagramme d'activité UML),analyser l'organisation de l'entreprise (configurations de H. Mintzberg),analyser les tâches du professionnel (diagramme d'activité UML),,,,,,,
IF15,CS,Ingénierie des connaissances,UV TM pour ing. ou UV ing.,,C,28 h,,,TP,30 h,THE,92 h,PRJ,70 h,,,,,Automne,,,Maîtrise du français : **  niveau C1|Picto pédagogie par projet|Picto UE en ligne,6 crédits,FRA,"Face au besoin de gestion des connaissances en entreprise, ce cours forme aux techniques d'Ingénierie des Connaissances pour le recueil et la modélisation des connaissances des experts. Sont passées en revue différentes approches de recueil, de représentation et de gestion des connaissances.",,,,,,,"recueillir les connaissances (entretiens, documents)","représenter les connaissances (ontologies, RDF, systèmes multi-agents, graphes conceptuels)","gérer les connaissances (MASK, REX, Common KADS, MACAO, KOD)",,,,,,,,
IF17,CS,Architectures décisionnelles,UV ing. ou UV mast.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Automne,,,Maîtrise du français niveau C1**|Intervenants extérieurs supérieur ou égal à 15%*,6 crédits,FRA,"Les objectifs de ce cours consistent à appréhender les enjeux, les outils et les difficultés liées à la conception et à l'intégration d'applications à caractère décisionnel au sein des Systèmes d'Information ainsi qu'à acquérir des notions concernant la fouille de données dans des grands volumes de données.",,,,,,,analyser les enjeux et les spécificités des projets décisionnels,concevoir des architectures matérielles et logicielles pour l'informatique décisionnelle,concevoir des entrepôts de données (datawarehouse),"mettre en évidence les problèmes et solutions technologiques liés à l'approvisionnement en données des entrepôts (hétérogénéité, volumétrie)",,,,,,,
IF19,CS,Réaliser un diagnostic organisationnel,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,25 h,,,,,Automne,,,Maîtrise du français : ***  niveau C2,6 crédits,FRA,"En adoptant des grilles d¿analyse sociologiques sur le fonctionnement des organisations, l'UE apprend à réaliser un diagnostic situé afin de dégager des freins et leviers pour accompagner une situation de changement et l'ingénierie des SI.",,,,,,,analyser des situations de travail en mobilisant les principales théories de sociologie des organisations,"identifier de manière systémique les enjeux ""métiers"" liés au système d'information (question du changement, des identités professionnelles, rapports maîtrise d'½uvre/maîtrise d¿ouvrage, etc.) ","aligner les systèmes d'information et l'organisation (du travail, des activités ""métier"") ",aligner les systèmes d'information et l'organisation en tenant compte des écarts entre prescrit et réel ,analyser les jeux d'acteurs et les ressorts de la coopération et de l'engagement au travail pour identifier les conditions de réussite des transformations,,,,,,
IF20,TM,Modélisation de processus métier,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,50 h,,,,,Automne,,,Maîtrise du français : * niveau B2|Intervenants extérieurs supérieur ou égal à 40%**,6 crédits,FRA,"L'approche par les processus est au c½ur du management moderne des entreprises. Dans cette approche, les processus actuels sont décrits et optimisés, et de nouveaux processus sont conçus ainsi que les Systèmes ",d'Information associés. Ce cours enseigne la modélisation de processus qui est le prérequis d'une adoption de ,l'approche par les processus.,,,,,identifier et modéliser des processus,maîtriser pratiquer un outil logiciel de modélisation de processus,gérer un projet de modélisation de processus,lier modélisation de processus et conception des applications du Système d'Information,,,,,,,
IF22,CS,Gestion des Systèmes d'Information,UV ing.,,C,24 h,TD,28 h,TP,16 h,THE,82 h,,,,,,,Printemps,,,Maîtrise du français niveau C1**|,6 crédits,FRA,"Ce cours traite de la gestion des Systèmes d'Information selon l'approche globale de l'Architecture d'Enterprise (AE) qui couvre l'urbanisation du Système d'Information, la gestion des référentiels, la gestion du portefeuille de projets, et les méthodologies de transformation pour apporter un avantage concurrentiel à l'Entreprise. ",,,,,"décrire, analyser et améliorer les différentes couches d'un Système d'Information (métier, fonctionnel, applicatif et technique)",gérer un projet d'urbanisation du Système d'Information en appliquant principes de gouvernance des SI,"appliquer les principaux référentiels du Système de Management d'une DSI (CMMI, ITIL, COBIT, ISO)",,,,,,,,,,
IF23,CS,Géolocalisation outdoor et indoor,UV ing.,,C,28 h,TD,14 h,TP,15 h,THE,93 h,PRJ,90 h,,,,,Printemps,,"MATH03, SY01",ouverte à l'alternance|Maîtrise du français : ** niveau C1|,6 crédits,FRA,"L¿objectif de l¿UE est de comprendre les concepts de la géolocalisation outdoor, par satellites (GNSS), et indoor, grâce à des signaux de communication.",,,,,,,comprendre et utiliser la notion de pseudo-distances pour calculer la position d'objets statiques ou en mouvements,connaître le positionnement en mode différentiel et par mesure de phase,savoir calculer dans les différents repères et systèmes de coordonnées,"être familiarisé avec les notions de géographie physique (géoïde, altitude)",mettre en place et utiliser un système de géolocalisation par satellites,"avoir des notions sur les applications possibles (agriculture, circulation routière, archéologie, ...)",comprendre la géolocalisation indoor,mettre en place un système de géolocalisation indoor par WiFi,,,
IF25,CS,Data mining pour les réseaux sociaux,UV ing. ou UV mast.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Printemps,,,Maîtrise du français : * niveau B2|Intervenants supérieur ou égal à * 15%,6 crédits,FRA,"Depuis quelques années, les réseaux sociaux se positionnent comme une source de données hétérogènes d¿une grande richesse (Big Data). L'utilisation du data mining permet non seulement de suivre les tendances, mais aussi de détecter (et parfois prédire) les acteurs et les interactions atypiques.",,,,,,,modéliser les réseaux sociaux par les graphes (statiques et dynamiques),mettre en ½uvre les techniques de collecte et de stockage de données (écoute passive et active),"extraire des règles de corrélation, classifier les données et détecter des anomalies",détecter dans un grand flux de données bruitées des signaux faibles,détecter des spams et des bots sociaux dans un contexte Big Data,,,,,,
IF26,TM,Conception sécurisée d'applications mobiles,UV ing. ou UV mast.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,70 h,,,,,Automne,,,Maîtrise du français : * niveau B2|Intervenants extérieurs supérieur ou égal à 75%***,6 crédits,FRA,Comprendre les méthodes et outils de conception d'applications sécurisées appliqués au développement pour smartphones.,,,,,"caractériser les attaques informatiques (man in the middle, force brute, déni de service, social engineering, etc.)",choisir les motifs de conception sécurité adaptés à chaque application,spécifier les solutions de chiffrement et de protection des données sensibles,utiliser un environnement de développement de logiciels,réaliser en projet une application mobile (iOS ou Android),,,,,,,,
IF27,CS,"Sécurité des données et des services",UV ing.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Printemps,,,ouverte à l'alternance|Maîtrise du français : **niveau C1|Intervenants extérieurs supérieur à 40% **,6 crédits,FRA,Connaître et comprendre les outils et démarches de sécurisation des données et des services.,,,,,,maîtriser les fondamentaux de la sécurité,connaître la démarche d¿audit,appréhender la notion de Pentest ,comprendre les architectures de gestion des accès et des identités (IAM),proposer des solutions de sécurité,connaître les dimensions juridiques liées à la protection des données (RGPD),,,,,,
IF28,TM,Fouille de données et connaissances,UV ing.,,C,28 h,,,TP,28 h,THE,94 h,PRJ,60 h,,,,,Automne,,,Maîtrise du français : * niveau B2 |Intervenants extérieurs supérieur à 15% *|Picto ue en ligne,6 crédits,FRA,"Les entreprises, les services publics, les associations ont accumulé de grandes quantités de données. Des techniques et méthodes issues notamment de la fouille de données et du Web sémantique permettent d'en tirer",des connaissances utiles à l'action.,,,,,identifier dans une activité humaine des points d'amélioration de la transmission de savoirs et savoir-faire,repérer des sources mobilisables (données et textes),choisir des traitements de fouille de données et de textes produisant des résultats interprétables,"modéliser sous forme d'un graphe des propositions singulières (RDF) et universelles (RDFS, OWL), les utiliser dans des requêtes (SPARQL)","accompagner une modélisation par les usagers (modèle entité-attribut-valeur,facettes, thésaurus, points de vue, etc.)",mettre à l'épreuve les modèles de connaissances et gérer leurs évolutions,,,,,,
IF29,CS,Traitement de données (Data Analytics),UV ing.,,C,28 h,TD,28 h,TP,12 h,THE,82 h,PRJ,50 h,,,,,Printemps,,,Maîtrise du français : * niveau B2 |Intervenants extérieurs supérieur à 40% **,6 crédits,FRA,"Le traitement de données est central pour les entreprises,en particulier pour comprendre le marché ou","aider à la prise de décision. Il s¿agit de former à la collecte, le traitement, et la compréhension",des données.,,,,,"modéliser un problème complexe pour le traduire en  chaîne  de  valorisation (Collecte, Stockage,","Analytics, Visualisation)	","collecter et préparer la donnée (nettoyage,exploration, sélection de dimensions) pour les",algorithmes de Machine Learning,reconnaître et formuler un problème de Machine Learning			,identifier	les	algorithmes	pertinents pour le raitement et la visualisation	,dimensionner les ressources pour une chaîne de traitement pour résoudre un problème complexe,assurer le passage à l'échelle des traitements pour faire face aux défis de grandes volumétries et de variabilité des projets Big Data Analytics,,,
